dataset,candidate,count,max_abs_error,mean_abs_error,median_max_abs_error,done_match_rate,reward_match_rate
sub01,torch_gpu_float64,7976,2.261272964432237e-07,1.1385051669109781e-08,2.119312381143601e-08,0.9996238946914673,1.0
sub01,torch_gpu_float32,7976,2.384185791015625e-07,1.5120226848353013e-08,3.725290298461914e-08,0.9996238946914673,1.0
sub01,torch_gpu_float16,7976,0.001953125,9.900331497192383e-05,0.000244140625,0.9996238946914673,1.0
sub02,torch_gpu_float64,6843,2.2888183615066282e-07,1.3282786680914937e-08,2.5535082937011566e-08,1.0,1.0
sub02,torch_gpu_float32,6843,2.384185791015625e-07,1.6084211296174544e-08,4.470348358154297e-08,1.0,1.0
sub02,torch_gpu_float16,6843,0.001953125,0.00010567903518676758,0.000244140625,0.9998539090156555,1.0
